Tournament,Stage,Match Type,Player,Team,Agents,Rounds Played,Rating,Average Combat Score,Kills:Deaths,"Kill, Assist, Trade, Survive %",Average Damage Per Round,Kills Per Round,Assists Per Round,First Kills Per Round,First Deaths Per Round,Headshot %,Clutch Success %,Clutches (won/played),Maximum Kills in a Single Map,Kills,Deaths,Assists,First Kills,First Deaths
Champions Tour 2023: Americas League,Regular Season,Week 5,jawgemo,Evil Geniuses,harbor,23,0.7,130.0,0.58,57%,97.0,0.48,0.04,0.0,0.04,36%,,0/1,11,11,19,1,0,1
Champions Tour 2023: Americas League,Regular Season,Week 5,jawgemo,Evil Geniuses,omen,23,0.74,144.0,0.56,70%,90.3,0.43,0.39,0.13,0.13,38%,,0/4,10,10,18,9,3,3
Champions Tour 2023: Americas League,Regular Season,Week 5,jawgemo,Evil Geniuses,raze,23,1.24,283.0,1.05,78%,190.0,0.91,0.43,0.17,0.22,15%,,,21,21,20,10,4,5
Champions Tour 2023: Americas League,Regular Season,Week 5,jawgemo,Evil Geniuses,"harbor, omen, raze",69,0.89,185.7,0.74,68%,125.8,0.61,0.29,0.1,0.13,24%,,0/5,21,42,57,20,7,9
Champions Tour 2023: Americas League,Regular Season,Week 5,Demon1,Evil Geniuses,jett,69,1.15,227.0,1.24,68%,145.3,0.81,0.09,0.19,0.07,31%,,0/6,20,56,45,6,13,5
Champions Tour 2023: Americas League,Regular Season,Week 5,Ethan,Evil Geniuses,kayo,23,1.34,273.0,1.5,74%,168.1,0.91,0.61,0.09,0.17,30%,,0/3,21,21,14,14,2,4
Champions Tour 2023: Americas League,Regular Season,Week 5,Ethan,Evil Geniuses,skye,46,0.74,133.5,0.51,67%,89.0,0.39,0.52,0.04,0.07,22%,,0/1,9,18,35,24,2,3
Champions Tour 2023: Americas League,Regular Season,Week 5,Ethan,Evil Geniuses,"skye, kayo",69,0.94,180.0,0.8,70%,115.3,0.57,0.55,0.06,0.1,25%,,0/4,21,39,49,38,4,7
Champions Tour 2023: Americas League,Regular Season,Week 5,C0M,Evil Geniuses,sova,23,1.13,167.0,1.08,74%,120.9,0.57,0.26,0.13,0.04,25%,50%,1/2,13,13,12,6,3,1
Champions Tour 2023: Americas League,Regular Season,Week 5,C0M,Evil Geniuses,viper,46,1.12,167.5,1.04,70%,121.9,0.59,0.17,0.11,0.04,24%,25%,2/8,18,27,26,8,5,2
Champions Tour 2023: Americas League,Regular Season,Week 5,C0M,Evil Geniuses,"viper, sova",69,1.12,167.3,1.05,71%,121.6,0.58,0.2,0.12,0.04,24%,30%,3/10,18,40,38,14,8,3
Champions Tour 2023: Americas League,Regular Season,Week 5,Melser,KRÜ Esports,astra,23,1.05,176.0,1.0,70%,130.3,0.61,0.22,0.0,0.09,29%,17%,1/6,14,14,14,5,0,2
Champions Tour 2023: Americas League,Regular Season,Week 5,Melser,KRÜ Esports,omen,24,1.16,216.0,1.19,71%,125.9,0.79,0.33,0.08,0.08,25%,,0/3,19,19,16,8,2,2
Champions Tour 2023: Americas League,Regular Season,Week 5,Melser,KRÜ Esports,viper,23,0.96,168.0,1.0,70%,121.5,0.61,0.35,0.0,0.13,20%,20%,1/5,14,14,14,8,0,3
Champions Tour 2023: Americas League,Regular Season,Week 5,Melser,KRÜ Esports,"astra, viper, omen",70,1.06,186.7,1.07,70%,125.9,0.67,0.3,0.03,0.1,24%,14%,2/14,19,47,44,21,2,7
Champions Tour 2023: Americas League,Regular Season,Week 5,axeddy,KRÜ Esports,harbor,23,1.32,280.0,1.64,83%,174.6,1.0,0.22,0.04,0.09,31%,,0/1,23,23,14,5,1,2
Champions Tour 2023: Americas League,Regular Season,Week 5,axeddy,KRÜ Esports,kayo,24,0.71,150.0,0.63,75%,87.0,0.5,0.33,0.17,0.21,31%,,,12,12,19,8,4,5
Champions Tour 2023: Americas League,Regular Season,Week 5,axeddy,KRÜ Esports,raze,23,0.59,139.0,0.53,61%,107.7,0.43,0.17,0.0,0.17,17%,,0/3,10,10,19,4,0,4
Champions Tour 2023: Americas League,Regular Season,Week 5,axeddy,KRÜ Esports,"raze, harbor, kayo",70,0.88,189.7,0.87,73%,122.6,0.64,0.24,0.07,0.16,26%,,0/4,23,45,52,17,5,11
Champions Tour 2023: Americas League,Regular Season,Week 5,keznit,KRÜ Esports,jett,70,1.05,226.0,1.1,64%,157.0,0.8,0.11,0.21,0.16,29%,,0/6,22,56,51,8,15,11
Champions Tour 2023: Americas League,Regular Season,Week 5,NagZ,KRÜ Esports,killjoy,47,1.13,187.5,1.26,72%,130.3,0.62,0.23,0.04,0.04,29%,38%,3/8,18,29,23,11,2,2
Champions Tour 2023: Americas League,Regular Season,Week 5,NagZ,KRÜ Esports,viper,23,0.81,163.0,0.71,57%,102.2,0.52,0.3,0.09,0.13,18%,,,12,12,17,7,2,3
Champions Tour 2023: Americas League,Regular Season,Week 5,NagZ,KRÜ Esports,"killjoy, viper",70,1.02,179.3,1.03,67%,121.1,0.59,0.26,0.06,0.07,25%,38%,3/8,18,41,40,18,4,5
Champions Tour 2023: Americas League,Regular Season,Week 5,Klaus,KRÜ Esports,skye,46,0.88,158.0,0.74,78%,97.5,0.54,0.48,0.09,0.07,21%,,0/2,13,25,34,22,4,3
Champions Tour 2023: Americas League,Regular Season,Week 5,Klaus,KRÜ Esports,sova,24,0.79,140.0,0.69,54%,102.7,0.46,0.25,0.08,0.04,19%,,0/4,11,11,16,6,2,1
Champions Tour 2023: Americas League,Regular Season,Week 5,Klaus,KRÜ Esports,"skye, sova",70,0.85,152.0,0.72,70%,99.3,0.51,0.4,0.09,0.06,20%,,0/6,13,36,50,28,6,4
Champions Tour 2023: Americas League,Regular Season,Week 5,Khalil,FURIA,astra,20,0.9,120.0,0.89,75%,78.1,0.4,0.35,0.0,0.05,24%,,,8,8,9,7,0,1
Champions Tour 2023: Americas League,Regular Season,Week 5,Khalil,FURIA,killjoy,24,1.19,221.0,1.29,83%,163.5,0.75,0.21,0.13,0.04,29%,,0/4,18,18,14,5,3,1
Champions Tour 2023: Americas League,Regular Season,Week 5,Khalil,FURIA,"killjoy, astra",44,1.04,170.5,1.13,80%,124.7,0.59,0.27,0.07,0.05,27%,,0/4,18,26,23,12,3,2
Champions Tour 2023: Americas League,Regular Season,Week 5,Quick,FURIA,harbor,24,0.8,124.0,0.63,67%,67.3,0.42,0.46,0.04,0.13,18%,50%,1/2,10,10,16,11,1,3
Champions Tour 2023: Americas League,Regular Season,Week 5,Quick,FURIA,viper,20,1.22,287.0,1.5,85%,191.7,1.05,0.4,0.1,0.1,21%,,0/2,21,21,14,8,2,2
Champions Tour 2023: Americas League,Regular Season,Week 5,Quick,FURIA,"harbor, viper",44,1.01,205.5,1.03,75%,123.9,0.7,0.43,0.07,0.11,20%,25%,1/4,21,31,30,19,3,5
Champions Tour 2023: Americas League,Regular Season,Week 5,dgzin,FURIA,jett,44,1.26,252.5,1.6,84%,152.0,0.91,0.2,0.25,0.11,32%,,0/3,24,40,25,9,11,5
Champions Tour 2023: Americas League,Regular Season,Week 5,mwzera,FURIA,raze,20,1.06,229.0,1.07,80%,142.0,0.75,0.4,0.25,0.15,7%,,0/1,15,15,14,8,5,3
Champions Tour 2023: Americas League,Regular Season,Week 5,mwzera,FURIA,skye,24,1.02,181.0,0.76,75%,110.3,0.54,0.75,0.0,0.04,23%,,0/2,13,13,17,18,0,1
Champions Tour 2023: Americas League,Regular Season,Week 5,mwzera,FURIA,"skye, raze",44,1.04,205.0,0.9,77%,124.7,0.64,0.59,0.11,0.09,15%,,0/3,15,28,31,26,5,4
Champions Tour 2023: Americas League,Regular Season,Week 5,mazin,FURIA,skye,20,1.16,174.0,1.4,75%,117.5,0.7,0.35,0.05,0.05,28%,33%,1/3,14,14,10,7,1,1
Champions Tour 2023: Americas League,Regular Season,Week 5,mazin,FURIA,viper,24,1.19,158.0,1.17,71%,120.3,0.58,0.21,0.13,0.04,44%,67%,2/3,14,14,12,5,3,1
Champions Tour 2023: Americas League,Regular Season,Week 5,mazin,FURIA,"skye, viper",44,1.18,166.0,1.27,73%,119.0,0.64,0.27,0.09,0.05,35%,50%,3/6,14,28,22,12,4,2
Champions Tour 2023: Americas League,Regular Season,Week 5,RgLMeister,MIBR,astra,20,0.8,103.0,0.57,75%,78.1,0.4,0.3,0.0,0.0,22%,,0/4,8,8,14,6,0,0
Champions Tour 2023: Americas League,Regular Season,Week 5,RgLMeister,MIBR,harbor,24,1.06,175.0,1.0,71%,121.5,0.67,0.21,0.08,0.08,18%,33%,1/3,16,16,16,5,2,2
Champions Tour 2023: Americas League,Regular Season,Week 5,RgLMeister,MIBR,"harbor, astra",44,0.93,139.0,0.8,73%,101.8,0.55,0.25,0.05,0.05,19%,14%,1/7,16,24,30,11,2,2
Champions Tour 2023: Americas League,Regular Season,Week 5,heat,MIBR,jett,24,0.95,220.0,1.06,63%,149.0,0.71,0.08,0.17,0.21,23%,,0/2,17,17,16,2,4,5
Champions Tour 2023: Americas League,Regular Season,Week 5,heat,MIBR,raze,20,0.9,181.0,0.87,60%,98.8,0.65,0.05,0.1,0.4,15%,,0/1,13,13,15,1,2,8
Champions Tour 2023: Americas League,Regular Season,Week 5,heat,MIBR,"jett, raze",44,0.92,200.5,0.97,61%,126.2,0.68,0.07,0.14,0.3,19%,,0/3,17,30,31,3,6,13
Champions Tour 2023: Americas League,Regular Season,Week 5,frz,MIBR,killjoy,44,1.13,215.5,1.03,73%,153.4,0.68,0.2,0.09,0.05,35%,,0/3,16,30,29,9,4,2
Champions Tour 2023: Americas League,Regular Season,Week 5,jzz,MIBR,skye,44,0.78,149.5,0.7,68%,89.3,0.52,0.34,0.09,0.11,24%,33%,1/3,12,23,33,15,4,5
Champions Tour 2023: Americas League,Regular Season,Week 5,murizzz,MIBR,viper,44,0.84,170.5,0.8,64%,112.1,0.55,0.32,0.05,0.09,18%,13%,1/8,14,24,30,14,2,4
Champions Tour 2023: Americas League,Regular Season,Week 5,runi,Cloud9,breach,19,1.22,184.0,1.22,79%,111.2,0.58,0.89,0.05,0.05,42%,,0/4,11,11,9,17,1,1
Champions Tour 2023: Americas League,Regular Season,Week 5,runi,Cloud9,viper,17,1.03,124.0,0.78,71%,80.7,0.41,0.24,0.0,0.0,20%,100%,1/1,7,7,9,4,0,0
Champions Tour 2023: Americas League,Regular Season,Week 5,runi,Cloud9,"viper, breach",36,1.12,154.0,1.0,75%,96.8,0.5,0.58,0.03,0.03,33%,20%,1/5,11,18,18,21,1,1
Champions Tour 2023: Americas League,Regular Season,Week 5,jakee,Cloud9,brimstone,19,1.33,242.0,1.45,84%,159.4,0.84,0.47,0.11,0.0,26%,,0/1,16,16,11,9,2,0
Champions Tour 2023: Americas League,Regular Season,Week 5,jakee,Cloud9,omen,17,1.26,242.0,1.45,88%,161.9,0.94,0.53,0.18,0.06,35%,100%,2/2,16,16,11,9,3,1
Champions Tour 2023: Americas League,Regular Season,Week 5,jakee,Cloud9,"brimstone, omen",36,1.29,242.0,1.45,86%,160.6,0.89,0.5,0.14,0.03,31%,67%,2/3,16,32,22,18,5,1
Champions Tour 2023: Americas League,Regular Season,Week 5,Zellsis,Cloud9,killjoy,36,1.26,230.0,1.61,81%,154.1,0.81,0.28,0.03,0.14,16%,25%,1/4,15,29,18,10,1,5
Champions Tour 2023: Americas League,Regular Season,Week 5,Xeppaa,Cloud9,raze,19,1.11,218.0,1.23,79%,143.5,0.84,0.21,0.21,0.21,19%,,,16,16,13,4,4,4
Champions Tour 2023: Americas League,Regular Season,Week 5,Xeppaa,Cloud9,skye,17,1.18,197.0,1.3,82%,122.8,0.76,0.65,0.0,0.0,22%,,0/2,13,13,10,11,0,0
Champions Tour 2023: Americas League,Regular Season,Week 5,Xeppaa,Cloud9,"skye, raze",36,1.15,207.5,1.26,81%,133.7,0.81,0.42,0.11,0.11,20%,,0/2,16,29,23,15,4,4
Champions Tour 2023: Americas League,Regular Season,Week 5,leaf,Cloud9,skye,19,1.64,293.0,2.44,89%,177.1,1.16,0.05,0.11,0.11,19%,,,22,22,9,1,2,2
Champions Tour 2023: Americas League,Regular Season,Week 5,FiNESSE,NRG Esports,breach,16,1.05,181.0,1.0,88%,113.9,0.69,0.63,0.0,0.06,13%,,0/2,11,11,11,10,0,1
Champions Tour 2023: Americas League,Regular Season,Week 5,FiNESSE,NRG Esports,viper,20,0.94,215.0,0.81,75%,137.2,0.65,0.85,0.1,0.1,15%,100%,1/1,13,13,16,17,2,2
Champions Tour 2023: Americas League,Regular Season,Week 5,FiNESSE,NRG Esports,"viper, breach",36,1.0,198.0,0.89,81%,126.9,0.67,0.75,0.06,0.08,14%,33%,1/3,13,24,27,27,2,3
Champions Tour 2023: Americas League,Regular Season,Week 5,s0m,NRG Esports,brimstone,16,1.56,279.0,1.88,81%,195.7,0.94,0.75,0.06,0.13,29%,,,15,15,8,12,1,2
Champions Tour 2023: Americas League,Regular Season,Week 5,s0m,NRG Esports,harbor,20,1.14,167.0,1.27,70%,116.0,0.7,0.25,0.05,0.05,39%,25%,1/4,14,14,11,5,1,1
Champions Tour 2023: Americas League,Regular Season,Week 5,s0m,NRG Esports,"harbor, brimstone",36,1.35,223.0,1.53,75%,151.4,0.81,0.47,0.06,0.08,33%,25%,1/4,15,29,19,17,2,3
Champions Tour 2023: Americas League,Regular Season,Week 5,ardiis,NRG Esports,jett,16,0.79,184.0,0.83,56%,118.5,0.63,0.06,0.19,0.19,11%,,,10,10,12,1,3,3
Champions Tour 2023: Americas League,Regular Season,Week 5,ardiis,NRG Esports,sage,20,1.5,258.0,1.67,95%,161.7,1.0,0.35,0.1,0.0,23%,,0/1,20,20,12,7,2,0
Champions Tour 2023: Americas League,Regular Season,Week 5,ardiis,NRG Esports,"jett, sage",36,1.14,221.0,1.25,78%,142.5,0.83,0.22,0.14,0.08,18%,,0/1,20,30,24,8,5,3
Champions Tour 2023: Americas League,Regular Season,Week 5,Victor,NRG Esports,killjoy,16,1.21,192.0,1.57,81%,123.3,0.69,0.13,0.13,0.06,26%,,,11,11,7,2,2,1
Champions Tour 2023: Americas League,Regular Season,Week 5,Victor,NRG Esports,raze,20,1.28,279.0,1.29,90%,181.0,0.9,0.1,0.3,0.1,20%,,0/2,18,18,14,2,6,2
Champions Tour 2023: Americas League,Regular Season,Week 5,Victor,NRG Esports,"killjoy, raze",36,1.25,235.5,1.38,86%,155.3,0.81,0.11,0.22,0.08,22%,,0/2,18,29,21,4,8,3
Champions Tour 2023: Americas League,Regular Season,Week 5,crashies,NRG Esports,skye,36,1.5,262.0,1.95,89%,179.8,1.03,0.5,0.14,0.06,28%,50%,1/2,20,37,19,18,5,2
Champions Tour 2023: Americas League,Regular Season,Week 5,Derrek,100 Thieves,breach,16,0.95,210.0,0.85,75%,150.3,0.69,0.56,0.13,0.06,35%,,0/3,11,11,13,9,2,1
Champions Tour 2023: Americas League,Regular Season,Week 5,Derrek,100 Thieves,skye,20,0.79,219.0,0.94,75%,138.3,0.75,0.3,0.0,0.2,46%,,0/3,15,15,16,6,0,4
Champions Tour 2023: Americas League,Regular Season,Week 5,Derrek,100 Thieves,"skye, breach",36,0.87,214.5,0.9,75%,143.6,0.72,0.42,0.06,0.14,41%,,0/6,15,26,29,15,2,5
Champions Tour 2023: Americas League,Regular Season,Week 5,bang,100 Thieves,brimstone,36,0.67,143.5,0.55,75%,93.8,0.47,0.33,0.06,0.06,30%,50%,1/2,10,17,31,12,2,2
Champions Tour 2023: Americas League,Regular Season,Week 5,Cryocells,100 Thieves,jett,16,0.89,221.0,0.92,56%,146.3,0.75,0.19,0.19,0.25,25%,,0/3,12,12,13,3,3,4
Champions Tour 2023: Americas League,Regular Season,Week 5,Cryocells,100 Thieves,sage,20,1.15,224.0,1.13,75%,145.2,0.9,0.25,0.05,0.1,34%,20%,1/5,18,18,16,5,1,2
Champions Tour 2023: Americas League,Regular Season,Week 5,Cryocells,100 Thieves,"jett, sage",36,1.02,222.5,1.03,67%,145.6,0.83,0.22,0.11,0.17,30%,13%,1/8,18,30,29,8,4,6
Champions Tour 2023: Americas League,Regular Season,Week 5,stellar,100 Thieves,killjoy,16,0.61,133.0,0.5,69%,86.8,0.38,0.13,0.19,0.0,24%,,0/2,6,6,12,2,3,0
Champions Tour 2023: Americas League,Regular Season,Week 5,stellar,100 Thieves,viper,20,0.67,200.0,0.67,75%,123.3,0.6,0.5,0.1,0.2,10%,,0/4,12,12,18,10,2,4
Champions Tour 2023: Americas League,Regular Season,Week 5,stellar,100 Thieves,"killjoy, viper",36,0.64,166.5,0.6,72%,107.1,0.5,0.33,0.14,0.11,15%,,0/6,12,18,30,12,5,4
Champions Tour 2023: Americas League,Regular Season,Week 5,Asuna,100 Thieves,raze,20,0.78,215.0,0.61,75%,162.5,0.55,0.4,0.05,0.2,14%,50%,1/2,11,11,18,8,1,4
Champions Tour 2023: Americas League,Regular Season,Week 5,Asuna,100 Thieves,skye,16,0.73,135.0,0.67,56%,87.1,0.5,0.19,0.0,0.06,28%,,0/3,8,8,12,3,0,1
Champions Tour 2023: Americas League,Regular Season,Week 5,Asuna,100 Thieves,"skye, raze",36,0.76,175.0,0.63,67%,129.0,0.53,0.31,0.03,0.14,18%,20%,1/5,11,19,30,11,1,5
Champions Tour 2023: Americas League,Regular Season,Week 5,dephh,Sentinels,breach,19,0.69,192.0,0.71,63%,119.4,0.63,0.21,0.05,0.0,23%,,0/2,12,12,17,4,1,0
Champions Tour 2023: Americas League,Regular Season,Week 5,dephh,Sentinels,omen,17,0.72,142.0,0.62,65%,87.4,0.47,0.29,0.06,0.0,16%,,0/1,8,8,13,5,1,0
Champions Tour 2023: Americas League,Regular Season,Week 5,dephh,Sentinels,"omen, breach",36,0.71,167.0,0.67,64%,104.3,0.56,0.25,0.06,0.0,20%,,0/3,12,20,30,9,2,0
Champions Tour 2023: Americas League,Regular Season,Week 5,Marved,Sentinels,brimstone,19,0.89,135.0,0.86,63%,92.4,0.63,0.21,0.16,0.11,29%,33%,1/3,12,12,14,4,3,2
Champions Tour 2023: Americas League,Regular Season,Week 5,Marved,Sentinels,viper,17,0.87,204.0,0.69,47%,126.9,0.65,0.29,0.18,0.18,23%,,0/1,11,11,16,5,3,3
Champions Tour 2023: Americas League,Regular Season,Week 5,Marved,Sentinels,"brimstone, viper",36,0.88,169.5,0.77,56%,108.7,0.64,0.25,0.17,0.14,26%,25%,1/4,12,23,30,9,6,5
Champions Tour 2023: Americas League,Regular Season,Week 5,pANcada,Sentinels,killjoy,36,0.82,195.5,0.8,56%,133.6,0.67,0.17,0.08,0.06,24%,,0/9,13,24,30,6,3,2
Champions Tour 2023: Americas League,Regular Season,Week 5,zekken,Sentinels,raze,36,0.57,142.5,0.54,58%,98.6,0.42,0.19,0.03,0.31,17%,,0/4,9,15,28,7,1,11
Champions Tour 2023: Americas League,Regular Season,Week 5,Sacy,Sentinels,skye,17,0.74,156.0,0.64,59%,104.6,0.53,0.35,0.06,0.06,33%,,0/4,9,9,14,6,1,1
Champions Tour 2023: Americas League,Regular Season,Week 6,Mazino,Leviatán,astra,17,1.86,351.0,3.29,88%,221.3,1.35,0.47,0.18,0.0,22%,100%,1/1,23,23,7,8,3,0
Champions Tour 2023: Americas League,Regular Season,Week 6,Mazino,Leviatán,omen,17,1.49,281.0,2.13,88%,169.3,1.0,0.41,0.18,0.12,29%,,,17,17,8,7,3,2
Champions Tour 2023: Americas League,Regular Season,Week 6,Mazino,Leviatán,"astra, omen",34,1.67,316.0,2.67,88%,195.3,1.18,0.44,0.18,0.06,25%,100%,1/1,23,40,15,15,6,2
Champions Tour 2023: Americas League,Regular Season,Week 6,kiNgg,Leviatán,breach,17,1.63,231.0,3.2,82%,150.6,0.94,0.47,0.12,0.0,27%,,0/1,16,16,5,8,2,0
Champions Tour 2023: Americas League,Regular Season,Week 6,kiNgg,Leviatán,viper,17,1.46,264.0,1.67,76%,155.2,0.88,0.53,0.12,0.0,19%,,0/2,15,15,9,9,2,0
Champions Tour 2023: Americas League,Regular Season,Week 6,kiNgg,Leviatán,"viper, breach",34,1.55,247.5,2.21,79%,152.9,0.91,0.5,0.12,0.0,22%,,0/3,16,31,14,17,4,0
Champions Tour 2023: Americas League,Regular Season,Week 6,Tacolilla,Leviatán,jett,34,1.18,180.5,1.28,79%,118.7,0.68,0.15,0.24,0.06,15%,,,15,23,18,5,8,2
Champions Tour 2023: Americas League,Regular Season,Week 6,Shyy,Leviatán,killjoy,17,0.93,143.0,1.0,94%,91.2,0.53,0.12,0.12,0.12,34%,,0/1,9,9,9,2,2,2
Champions Tour 2023: Americas League,Regular Season,Week 6,Shyy,Leviatán,skye,17,1.06,134.0,1.0,82%,94.9,0.47,0.59,0.0,0.06,30%,,0/2,8,8,8,10,0,1
Champions Tour 2023: Americas League,Regular Season,Week 6,Shyy,Leviatán,"skye, killjoy",34,1.0,138.5,1.0,88%,93.1,0.5,0.35,0.06,0.09,33%,,0/3,9,17,17,12,2,3
Champions Tour 2023: Americas League,Regular Season,Week 6,nzr,Leviatán,raze,17,1.43,335.0,1.5,76%,219.6,1.06,0.41,0.24,0.18,15%,100%,1/1,18,18,12,7,4,3
Champions Tour 2023: Americas League,Regular Season,Week 6,nzr,Leviatán,sova,17,1.57,231.0,2.33,88%,152.2,0.82,0.47,0.0,0.0,13%,,0/1,14,14,6,8,0,0
Champions Tour 2023: Americas League,Regular Season,Week 6,nzr,Leviatán,"raze, sova",34,1.5,283.0,1.78,82%,185.9,0.94,0.44,0.12,0.09,14%,50%,1/2,18,32,18,15,4,3
Champions Tour 2023: Americas League,Regular Season,Week 6,jakee,Cloud9,astra,18,1.1,178.0,1.09,72%,113.9,0.67,0.28,0.22,0.06,23%,,,12,12,11,5,4,1
Champions Tour 2023: Americas League,Regular Season,Week 6,jakee,Cloud9,omen,17,0.95,126.0,0.8,71%,72.2,0.47,0.65,0.06,0.0,22%,,0/1,8,8,10,11,1,0
Champions Tour 2023: Americas League,Regular Season,Week 6,jakee,Cloud9,"astra, omen",35,1.02,152.0,0.95,71%,93.7,0.57,0.46,0.14,0.03,23%,,0/1,12,20,21,16,5,1
Champions Tour 2023: Americas League,Regular Season,Week 6,runi,Cloud9,breach,18,1.07,134.0,1.13,89%,93.6,0.5,0.61,0.0,0.06,50%,,0/1,9,9,8,11,0,1
Champions Tour 2023: Americas League,Regular Season,Week 6,runi,Cloud9,viper,17,1.44,274.0,1.67,76%,188.9,0.88,0.53,0.18,0.12,41%,,,15,15,9,9,3,2
Champions Tour 2023: Americas League,Regular Season,Week 6,runi,Cloud9,"viper, breach",35,1.26,204.0,1.41,83%,139.9,0.69,0.57,0.09,0.09,44%,,0/1,15,24,17,20,3,3
Champions Tour 2023: Americas League,Regular Season,Week 6,Zellsis,Cloud9,killjoy,35,1.29,237.0,1.82,91%,158.6,0.89,0.09,0.06,0.06,22%,17%,1/6,16,31,17,3,2,2
Champions Tour 2023: Americas League,Regular Season,Week 6,Xeppaa,Cloud9,raze,18,1.2,241.0,1.27,78%,161.1,0.78,0.44,0.17,0.22,18%,,,14,14,11,8,3,4
Champions Tour 2023: Americas League,Regular Season,Week 6,Xeppaa,Cloud9,skye,17,1.44,203.0,1.86,88%,121.1,0.76,0.41,0.06,0.06,24%,33%,1/3,13,13,7,7,1,1
Champions Tour 2023: Americas League,Regular Season,Week 6,Xeppaa,Cloud9,"skye, raze",35,1.32,222.0,1.5,83%,141.7,0.77,0.43,0.11,0.14,21%,33%,1/3,14,27,18,15,4,5
Champions Tour 2023: Americas League,Regular Season,Week 6,leaf,Cloud9,skye,18,1.51,249.0,1.89,94%,159.5,0.94,0.5,0.11,0.11,24%,100%,1/1,17,17,9,9,2,2
Champions Tour 2023: Americas League,Regular Season,Week 6,bang,100 Thieves,astra,28,0.98,163.0,1.06,79%,106.2,0.64,0.32,0.07,0.11,30%,,0/3,18,18,17,9,2,3
Champions Tour 2023: Americas League,Regular Season,Week 6,bang,100 Thieves,omen,18,0.5,78.0,0.36,67%,47.3,0.28,0.56,0.0,0.22,17%,,0/1,5,5,14,10,0,4
Champions Tour 2023: Americas League,Regular Season,Week 6,bang,100 Thieves,"astra, omen",46,0.74,120.5,0.74,74%,83.2,0.5,0.41,0.04,0.15,27%,,0/4,18,23,31,19,2,7
Champions Tour 2023: Americas League,Regular Season,Week 6,Cryocells,100 Thieves,jett,18,0.99,232.0,1.14,61%,154.4,0.89,0.06,0.28,0.11,28%,,,16,16,14,1,5,2
Champions Tour 2023: Americas League,Regular Season,Week 6,Cryocells,100 Thieves,sage,28,1.26,232.0,1.38,79%,155.5,0.79,0.36,0.14,0.04,27%,,0/5,22,22,16,10,4,1
Champions Tour 2023: Americas League,Regular Season,Week 6,Cryocells,100 Thieves,"jett, sage",46,1.12,232.0,1.27,72%,155.1,0.83,0.24,0.2,0.07,27%,,0/5,22,38,30,11,9,3
Champions Tour 2023: Americas League,Regular Season,Week 6,Asuna,100 Thieves,kayo,18,0.86,171.0,0.77,67%,114.0,0.56,0.28,0.0,0.11,19%,,0/6,10,10,13,5,0,2
Champions Tour 2023: Americas League,Regular Season,Week 6,Asuna,100 Thieves,raze,28,1.11,253.0,0.96,75%,167.1,0.79,0.25,0.21,0.07,18%,,0/2,22,22,23,7,6,2
Champions Tour 2023: Americas League,Regular Season,Week 6,Asuna,100 Thieves,"raze, kayo",46,0.99,212.0,0.89,72%,146.3,0.7,0.26,0.13,0.09,19%,,0/8,22,32,36,12,6,4
Champions Tour 2023: Americas League,Regular Season,Week 6,stellar,100 Thieves,killjoy,18,0.74,185.0,0.86,67%,114.2,0.67,0.17,0.0,0.11,23%,,,12,12,14,3,0,2
Champions Tour 2023: Americas League,Regular Season,Week 6,Derrek,100 Thieves,skye,28,0.96,154.0,0.89,75%,113.0,0.57,0.25,0.07,0.11,36%,,0/2,16,16,18,7,2,3
Champions Tour 2023: Americas League,Regular Season,Week 6,Derrek,100 Thieves,sova,18,0.96,180.0,0.71,72%,135.2,0.56,0.56,0.17,0.0,36%,,0/5,10,10,14,10,3,0
Champions Tour 2023: Americas League,Regular Season,Week 6,Derrek,100 Thieves,"skye, sova",46,0.96,167.0,0.81,74%,121.7,0.57,0.37,0.11,0.07,36%,,0/7,16,26,32,17,5,3
Champions Tour 2023: Americas League,Regular Season,Week 6,tuyz,LOUD,astra,28,0.97,148.0,0.75,79%,103.2,0.43,0.43,0.0,0.04,26%,,0/4,12,12,16,12,0,1
Champions Tour 2023: Americas League,Regular Season,Week 6,tuyz,LOUD,omen,18,1.04,187.0,1.0,83%,106.4,0.67,0.61,0.06,0.0,22%,50%,2/4,12,12,12,11,1,0
Champions Tour 2023: Americas League,Regular Season,Week 6,tuyz,LOUD,"astra, omen",46,1.01,167.5,0.86,80%,104.4,0.52,0.5,0.02,0.02,24%,25%,2/8,12,24,28,23,1,1
Champions Tour 2023: Americas League,Regular Season,Week 6,aspas,LOUD,jett,46,1.49,294.5,2.0,74%,182.3,1.13,0.24,0.17,0.13,26%,40%,2/5,33,52,26,11,8,6
Champions Tour 2023: Americas League,Regular Season,Week 6,saadhak,LOUD,kayo,18,0.87,150.0,0.67,61%,94.9,0.44,0.56,0.17,0.11,4%,,,8,8,12,10,3,2
Champions Tour 2023: Americas League,Regular Season,Week 6,saadhak,LOUD,raze,28,0.79,168.0,0.67,57%,114.9,0.5,0.18,0.11,0.14,10%,,0/1,14,14,21,5,3,4
Champions Tour 2023: Americas League,Regular Season,Week 6,saadhak,LOUD,"raze, kayo",46,0.83,159.0,0.67,59%,107.1,0.48,0.33,0.13,0.13,8%,,0/1,14,22,33,15,6,6
Champions Tour 2023: Americas League,Regular Season,Week 6,Less,LOUD,killjoy,18,1.65,342.0,2.44,83%,211.3,1.22,0.22,0.11,0.11,25%,,0/1,22,22,9,4,2,2
